id,signal_type,title,status,score,summary,observed_at
30,POTENTIAL_ATTACK_SURFACE_EXPANSION,Attack Surface Observation,new,95,Analysis could not be completed: NotFound,2026-09-05T20:59:52.895710+00:00
29,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:53:17.974712+00:00
28,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:52:44.876681+00:00
27,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:52:32.379351+00:00
26,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:52:22.500165+00:00
25,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:52:14.773721+00:00
24,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:51:40.503347+00:00
23,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:51:19.337436+00:00
22,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:51:11.493399+00:00
21,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:50:55.279261+00:00
20,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:50:24.094637+00:00
19,NEW_FEATURE,Attack Surface Observation,new,60,Analysis could not be completed: NotFound,2026-09-05T19:50:15.867081+00:00
18,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:50:08.638628+00:00
17,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:50:01.337003+00:00
16,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:49:53.630173+00:00
15,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:49:44.460290+00:00
14,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:49:37.434562+00:00
13,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:49:29.525119+00:00
12,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:49:16.700204+00:00
11,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:49:01.664391+00:00
10,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:48:54.616783+00:00
9,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:48:40.151238+00:00
8,NEW_FEATURE,Attack Surface Observation,new,60,Analysis could not be completed: NotFound,2026-09-05T19:48:20.621213+00:00
7,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:48:03.265509+00:00
6,NEW_FEATURE,Attack Surface Observation,new,60,Analysis could not be completed: NotFound,2026-09-05T19:47:55.139214+00:00
5,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:47:54.832159+00:00
4,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:47:38.402118+00:00
3,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:47:28.764200+00:00
2,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:46:56.539447+00:00
1,NEW_API_SURFACE,Attack Surface Observation,new,100,Analysis could not be completed: NotFound,2026-09-05T19:46:24.149097+00:00
